,Directed by,Produced by,Music by,Cinematography,Distributed by,Year,imdb rating(over 10),rotten tomato rating(over 10),metacritic rating(over 100),Box office (billion $$),Universe
Man of Steel,Zack Snyder,"['Charles Roven', 'Christopher Nolan', 'Emma Thomas', 'Deborah Snyder']",Hans Zimmer,Amir Mokri,Warner Bros. Pictures,2013,7.0,6.2,55,0.668,DC
Batman v Superman: Dawn of Justice,Zack Snyder,"['Charles Roven', 'Deborah Snyder']","Hans Zimmer
Junkie XL",Larry Fong,Warner Bros. Pictures,2016,6.4,5.0,44,0.8736,DC
Suicide Squad,David Ayer,"['Charles Roven', 'Richard Suckle']",Steven Price,Roman Vasyanov,Warner Bros. Pictures,2016,6.0,4.78,40,0.7467999999999999,DC
Wonder Woman,Patty Jenkins,"['Charles Roven', 'Deborah Snyder', 'Zack Snyder', 'Richard Suckle']",Rupert Gregson-Williams,Matthew Jensen,Warner Bros. Pictures,2017,7.4,7.7,76,0.8222999999999999,DC
Justice League,Zack Snyder,"['Charles Roven', 'Deborah Snyder', 'Jon Berg', 'Geoff Johns']",Danny Elfman,Fabian Wagner,Warner Bros. Pictures,2017,6.3,5.3,45,0.6578999999999999,DC
Aquaman,James Wan,"['Peter Safran', 'Rob Cowan']",Rupert Gregson-Williams,Don Burgess,Warner Bros. Pictures,2018,6.9,6.0,55,1.148,DC
Shazam!,David F. Sandberg,Peter Safran,Benjamin Wallfisch,Maxime Alexandre,Warner Bros. Pictures,2019,7.0,7.3,71,0.366,DC
Birds of Prey,Cathy Yan,"['Margot Robbie', 'Bryan Unkeless', 'Sue Kroll']",Daniel Pemberton,Matthew Libatique,Warner Bros. Pictures,2020,6.1,6.8,60,0.2018,DC
Wonder Woman 1984,Patty Jenkins,"['Charles Roven', 'Deborah Snyder', 'Zack Snyder', 'Patty Jenkins', 'Gal Gadot', 'Stephen Jones']",Hans Zimmer,Matthew Jensen,Warner Bros. Pictures,2020,5.4,6.1,60,0.1522,DC
